guess-the-majority-in-a-hidden-array	Guess the Majority in a Hidden Array	2	true
find-the-index-of-the-large-integer	Find the Index of the Large Integer	2	true
diameter-of-n-ary-tree	Diameter of N-Ary Tree	2	true
get-the-maximum-score	Get the Maximum Score	3	false
minimum-swaps-to-arrange-a-binary-grid	Minimum Swaps to Arrange a Binary Grid	2	false
find-the-winner-of-an-array-game	Find the Winner of an Array Game	2	false
count-good-triplets	Count Good Triplets	1	false
move-sub-tree-of-n-ary-tree	Move Sub-Tree of N-Ary Tree	3	true
number-of-good-leaf-nodes-pairs	Number of Good Leaf Nodes Pairs	2	false
bulb-switcher-iv	Bulb Switcher IV	2	false
shuffle-string	Shuffle String	1	false
find-root-of-n-ary-tree	Find Root of N-Ary Tree	2	true
find-a-value-of-a-mysterious-function-closest-to-target	Find a Value of a Mysterious Function Closest to Target	3	false
maximum-number-of-non-overlapping-substrings	Maximum Number of Non-Overlapping Substrings	3	false
number-of-nodes-in-the-sub-tree-with-the-same-label	Number of Nodes in the Sub-Tree With the Same Label	2	false
water-bottles	Water Bottles	1	false
design-a-file-sharing-system	Design a File Sharing System	2	true
best-position-for-a-service-centre	Best Position for a Service Centre	3	false
string-compression-ii	String Compression II	3	false
number-of-substrings-with-only-1s	Number of Substrings With Only 1s	2	false
number-of-good-pairs	Number of Good Pairs	1	false
clone-n-ary-tree	Clone N-ary Tree	2	true
minimum-number-of-increments-on-subarrays-to-form-a-target-array	Minimum Number of Increments on Subarrays to Form a Target Array	3	false
number-of-good-ways-to-split-a-string	Number of Good Ways to Split a String	2	false
number-of-sub-arrays-with-odd-sum	Number of Sub-arrays With Odd Sum	2	false
count-odd-numbers-in-an-interval-range	Count Odd Numbers in an Interval Range	1	false
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits	Minimum Possible Integer After at Most K Adjacent Swaps On Digits	3	false
count-submatrices-with-all-ones	Count Submatrices With All Ones	2	false
last-moment-before-all-ants-fall-out-of-a-plank	Last Moment Before All Ants Fall Out of a Plank	2	false
can-make-arithmetic-progression-from-sequence	Can Make Arithmetic Progression From Sequence	1	false
clone-binary-tree-with-random-pointer	Clone Binary Tree With Random Pointer	2	true
max-value-of-equation	Max Value of Equation	3	false
number-of-subsequences-that-satisfy-the-given-sum-condition	Number of Subsequences That Satisfy the Given Sum Condition	2	false
check-if-array-pairs-are-divisible-by-k	Check If Array Pairs Are Divisible by k	2	false
path-crossing	Path Crossing	1	false
